arm	params	raw_bpb	int6_sw_bpb	step_ms
X0_ctrl_7flat_2loop	5313572	1.9037	?	837.75
X1_ctrl_5flat_1loop	4119324	1.9114	?	579.03
H0_dim64_s1	4185116	1.8613	?	984.26
H1_dim96_s1	4217884	1.8487	?	990.43
H2_dim128_s1	4250652	1.8574	?	989.10
H3_dim192_s1	4316188	1.8362	?	996.23
J0_s5_dim64	4185116	1.9148	?	587.88
J1_s5_dim128	4250652	1.9124	?	589.20
J2_s3_dim64	4185116	1.9150	?	587.88
J3_s3_dim128	4250652	1.9068	?	589.75
M0_marco_dim16	4152348	1.9048	?	1234.51
M1_marco_dim32	4185116	1.9038	?	1228.96
M2_marco_dim64	4250652	2.0176	?	1242.19
M3_marco_dim64_s5	4250652	1.9248	?	641.60
M4_marco_dim128	4381724	2.1043	?	1261.72
K0_7f_dim64	5367076	1.8720	?	1352.59
K1_7f_dim64_s3	5367076	1.8979	?	854.01
K2_7f_marco_dim64	5432612	8.4338	?	1719.43
K3_9f_dim64	6549036	1.8908	?	1721.99
K4_9f_marco_dim64	6614572	9.4379	?	2206.37
