kernel	BM	BN	warps	stages	fwd_ms	fwd_bwd_ms	fwd_err
fwd	64	64	4	3	0.0804	0.4383	0.00390625
fwd	64	64	4	2	0.0812	0.4312	0.00390625
fwd	64	64	8	3	0.1399	0.5321	0.00390625
fwd	128	64	4	3	0.0867	0.4401	0.00390625
fwd	128	64	8	3	0.0899	0.5115	0.00390625
fwd	128	64	8	4	0.0909	0.5332	0.00390625
fwd	128	128	4	3	0.0987	0.4182	0.0009765625
fwd	128	128	8	3	0.0967	0.4439	0.0009765625
fwd	128	128	8	4	0.1008	0.4643	0.0009765625
fwd	64	128	4	3	0.0813	0.4341	0.0009765625
fwd	64	128	8	3	0.1593	0.4445	0.0009765625
fwd	64	128	8	4	0.1604	0.4318	0.0009765625
bkv	64	64	4	3	0.0784	0.4426	0.00390625
bkv	64	64	4	2	0.0791	0.4444	0.00390625
bkv	64	64	8	3	0.0787	0.4679	0.00390625
bkv	128	64	4	3	0.0800	0.4646	0.00390625
bkv	128	64	8	3	0.0804	0.4410	0.00390625
bkv	128	64	8	4	0.0801	0.4831	0.00390625
bkv	128	128	4	3	0.0791	0.5470	0.00390625
bkv	128	128	8	3	0.0796	0.4292	0.00390625
bkv	128	128	8	4	0.0818	0.5390	0.00390625
bkv	64	128	4	3	0.0838	0.5561	0.00390625
bkv	64	128	8	3	0.0787	0.4322	0.00390625
bkv	64	128	8	4	0.0796	0.4571	0.00390625
bq	64	64	4	3	0.0931	0.5902	0.00390625
bq	64	64	4	2	0.0792	0.5633	0.00390625
bq	64	64	8	3	0.0875	0.5458	0.00390625
bq	128	64	4	3	0.0807	0.5911	0.00390625
bq	128	64	8	3	0.0845	0.5364	0.00390625
bq	128	64	8	4	0.0807	0.4412	0.00390625
bq	128	128	4	3	0.0793	0.5343	0.00390625
bq	128	128	8	3	0.0799	0.4318	0.00390625
bq	128	128	8	4	0.0792	0.4322	0.00390625
bq	64	128	4	3	0.0795	0.4427	0.00390625
bq	64	128	8	3	0.0796	0.5641	0.00390625
bq	64	128	8	4	0.0804	0.6398	0.00390625
